"Date","Agric","Food","Soda","Beer","Smoke","Toys","Fun","Books","Hshld","Clths","Hlth","MedEq","Drugs","Chems","Rubbr","Txtls","BldMt","Cnstr","Steel","FabPr","Mach","ElcEq","Autos","Aero","Ships","Guns","Gold","Mines","Coal","Oil","Util","Telcm","PerSv","BusSv","Hardw","Softw","Chips","LabEq","Paper","Boxes","Trans","Whlsl","Rtail","Meals","Banks","Insur","RlEst","Fin","Other","RMRF","RF","MacroU","TPU","ShortRate","EPU","FinU"
1992-07-01,-0.0024,0.0565,-2e-04,0.0455,0.0461,0.0243,0.0161,0.0274,0.0676,0.0556,0.0624,0.0396,0.0605,0.042,0.0475,0.0719,0.0448,0.0747,-0.0014,0.098,0.0255,-0.0094,-0.0093,0.0331,-0.0593,0.0593,0.0164,-0.0344,0.0641,0.0531,0.0672,0.0544,0.0199,0.0363,0.0176,0.0367,0.0492,0.0217,-0.0084,-0.0176,0.0078,0.0395,0.0425,0.0051,0.0167,0.0627,-0.0547,0.0296,0.0602,0.0377,0.0031,0.570068052,50.3408495,3.7201,120,0.742599766
1992-08-01,0.0036,0.021,-0.0741,0.0127,-0.0021,-0.0368,-0.019,-0.0114,-0.0289,-0.0106,-0.0232,-0.0288,-0.0355,-0.0479,-0.0378,-0.0146,0.0037,-0.0153,-0.0914,-0.0117,-0.0371,-0.0277,-0.1107,-0.0451,-0.0397,0.0202,-0.0592,-0.029,-0.012,0.026,-0.0047,-0.0097,-0.0227,-0.0174,-0.0806,-0.0236,-0.0172,-0.0171,-0.0362,-0.0125,-0.0597,-0.0235,0.001,-0.028,-0.0419,-0.0207,-0.0177,-0.0346,-0.0427,-0.0238,0.0026,0.569397561,54.20748234,3.5949,122,0.733092727
1992-09-01,-0.0342,0.0283,0.0462,-0.021,0.0137,0.0617,0.0544,-0.0078,0.034,0.0546,-0.0725,-0.0254,-0.0514,6e-04,0.0471,0.0232,0.0309,0.0182,-0.0049,-0.0469,0.0282,0.0655,-0.0178,-0.0219,-0.0195,0.0113,-0.0138,0.0205,0.1317,8e-04,0.0083,0.0191,-0.0062,0.0158,-0.0116,0.068,0.073,0.0589,0.0069,0.0266,0.042,0.0262,0.0434,0.0588,0.0164,0.0614,0.049,0.0179,0.0636,0.0119,0.0026,0.575090769,45.73268921,3.3186,141,0.719039071
1992-10-01,-0.0243,-0.0268,-0.025,0.0205,-0.0421,0.0146,0.0479,0.0073,0.0249,0.0098,0.0489,0.0418,0.0304,0.0079,-0.0069,0.001,0.0123,-0.0061,0.0154,0.1019,-0.025,-0.0069,0.0029,0.0344,0.0726,-0.0033,-0.0914,0.0171,2e-04,-0.0349,-0.0043,-0.0054,0.0523,0.0364,-0.0348,0.0916,0.0602,-0.0167,0.0308,-0.0027,0.0607,0.0278,0.045,0.0373,0.028,0.0261,0.0308,0.033,0.0289,0.0102,0.0023,0.580139228,49.29464572,3.4337,161,0.715984216
1992-11-01,0.0285,0.0359,0.0756,0.0071,0.0198,0.0548,0.0828,0.0739,0.0436,0.1049,0.1068,0.0435,0.0433,0.0217,0.0487,0.0575,0.0151,0.0426,0.0707,0.0455,0.0369,0.0798,0.0814,0.0096,0.1034,0.0642,-0.1188,0.0298,-0.1049,-0.0267,-0.0023,0.0388,0.0684,0.0485,0.0721,0.0549,0.0611,0.0542,0.0386,0.0554,0.0535,0.066,0.0696,0.0865,0.0741,0.0513,-0.0039,0.0774,0.0765,0.0413,0.0023,0.573890206,65.30127634,3.8665,108,0.723277563
1992-12-01,0.068,-0.0122,0.015,0.0289,-0.0284,-0.0426,0.0391,-0.008,-0.0105,-0.0095,-0.0052,0.0228,-0.0206,0.0095,0.0076,0.0515,0.0029,-0.0179,0.0404,-0.0282,0.0114,0.032,0.0318,0.0875,0.0697,0.0983,0.0385,0.0341,-0.0015,0.0193,0.027,0.0565,0.0243,0.0226,-0.0473,-0.0097,0.0647,0.0254,-0.0046,0.0074,0.013,0.031,0.0022,-0.0032,0.0469,0.0423,0.1113,0.0506,0.0177,0.0153,0.0028,0.584361128,46.45121522,3.9588,88,0.712887102
1993-01-01,0.0189,-0.0327,-0.0152,0.0086,-0.0575,0.0527,0.0643,0.0478,0.0233,-0.0139,-0.0169,-0.0309,-0.0809,-0.0227,0.0201,0.0253,0.0013,0.0382,0.0653,-0.0235,0.0387,0.0065,0.0976,-0.0367,-0.0084,-0.0057,-0.0566,0.0132,-0.0365,0.0278,0.0245,0.0133,-0.0017,-0.0096,0.0413,0.0535,0.0817,0.0093,0.0094,-0.0108,0.0284,0.0228,-0.0027,0.0111,0.0439,0.0294,0.0244,0.037,0.0058,0.0093,0.0023,0.584627469,52.84245979,3.6856,83,0.707767497
1993-02-01,-0.0139,-0.0232,0.0698,-0.0236,-0.0317,-0.0966,-0.035,-0.003,0.0344,-0.0683,-0.1538,-0.1221,-0.0765,0.0101,0.0246,0.0327,0.0683,0.0393,-0.0052,-0.0249,0.0374,-0.0229,-5e-04,0.0207,-0.0034,0.0327,0.0574,0.0244,-0.0191,0.0601,0.0622,0.0571,0.0076,-4e-04,-0.0187,-0.0466,0.0395,0.0223,0.0161,-0.0516,0.0046,-0.0173,-0.0171,-0.0014,0.0189,-0.0072,0.0197,0.0192,-0.049,0.0012,0.0022,0.567997152,58.23490814,3.4846,107,0.704785861
1993-03-01,0.0143,-0.0259,0.0858,0.0246,-0.0091,0.0278,0.0423,0.0104,0.0109,0.0482,0.0529,-0.0101,0.0055,0.0212,0.0426,0.0276,0.0249,-0.0136,-0.0078,0.049,0.0212,0.0641,0.0614,0.0374,-0.0314,0.0533,0.1754,0.0113,-0.019,0.0413,0.0176,0.0327,-0.0092,0.0206,-0.011,0.0451,0.0464,0.0169,-0.0214,0.0207,0.0407,0.0214,0.0291,0.04,0.0367,0.0441,0.0789,0.0578,-0.0202,0.023,0.0025,0.562884522,41.16828929,3.4097,110,0.701272795
1993-04-01,-0.0409,-0.1247,-0.1165,-0.0918,-0.1586,0.0123,-0.0361,-0.0183,-0.0513,-0.0591,-2e-04,-0.0971,0.0339,0.0334,-0.0477,-0.047,-0.0234,-0.0036,-0.0221,0.0029,0.024,0.0022,0.0391,0.0205,-0.0691,0.0371,0.0918,-0.1015,-0.0469,0.0116,-0.0015,-0.0287,-0.0385,-0.0452,-0.0344,-0.0653,-0.0233,-0.0128,0.0014,0.0067,0.0044,-0.0392,-0.0928,-0.0637,-0.0483,-0.0277,-0.0163,-0.0306,-0.0517,-0.0305,0.0024,0.556720803,46.7481189,3.3099,90,0.699989221
